number_box,number_zakaza,ves_box
206,2,19.08
207,2,3.26
208,2,4.47
209,2,10.6
210,2,3.18
211,2,5.56
212,2,3.56
213,2,2.13
214,2,6.43
215,2,4.58
216,2,12.59
217,2,5.51
218,2,10.12
219,2,1.29
220,2,3.88
221,2,0.41
222,2,4.35
223,2,10.25
224,2,18.6
225,2,2.31
226,2,5.43
227,2,19.78
228,2,5.33
229,2,13.75
230,2,1.73
231,2,14.63
232,2,6.26
233,2,4.34
234,2,21.9
235,2,5.65
236,2,7.11
237,2,14.43
238,2,2.14
239,2,5.06
240,2,4.41
241,2,12.18
242,2,13.31
243,2,1.81
244,2,18.88
245,2,0.88
246,2,4.32
247,2,3.36
248,2,11.74
249,2,12.24
250,2,2.91
251,2,6.6
252,2,15.58
253,2,6.73
254,2,3.6
255,2,5.55
256,2,2
257,2,12.52
258,2,6.12
259,2,5.57
260,2,10.51
261,2,10.53
262,2,19.16
263,2,15.76
264,2,1.73
265,2,4.44
266,2,1.95
267,2,3.23
268,2,9.4
269,2,3.67
270,2,23.3
271,2,21.51
272,2,4.77
273,2,15.02
274,2,0.75
275,2,15.35
276,2,12.55
277,2,2.8
278,2,4.13
279,2,7.34
280,2,5.32
281,2,4.34
282,2,5.17
283,2,5.04
284,2,3.7
285,2,4.74
286,2,4.18
287,2,4.81
288,2,5.85
289,2,0.89
290,2,1.22
291,2,3.52
292,2,4.3
293,2,5.26
294,2,12.26
295,2,5.27
296,3,3.28
297,3,12.52
298,3,25.71
299,3,4.46
300,3,3.97
301,3,12.24
302,3,5.55
303,3,2.14
304,3,3.56
305,3,4.16
306,3,3.64
307,3,2.89
308,3,2.62
309,3,4.32
310,3,6.93
311,3,10.12
312,3,2.26
313,3,3.48
314,3,5.1
315,3,14.43
316,3,15.35
317,3,11.35
318,3,3.83
319,3,5.73
320,3,3.63
321,3,4.44
322,3,23.15
323,3,2.13
324,3,3.07
325,3,4.9
326,3,12.55
327,3,4.92
328,3,4.13
329,3,15.58
330,3,4.26
331,3,5.33
332,3,3.45
333,3,4.04
334,3,17.32
335,3,5.61
336,3,14.35
337,3,6.58
338,3,4.16
339,3,5.5
340,3,4.13
341,3,13.4
342,3,5.51
343,3,4.28
344,3,2.93
345,3,6.43
346,3,10.29
347,3,5.87
348,3,3.18
349,3,1.18
350,3,2.96
351,3,1
352,3,18.86
353,3,4.92
354,3,13.75
355,3,8.4
356,3,3.94
357,3,3.62
358,3,4.3
359,3,6.26
360,3,3.16
361,3,6.02
362,3,6.12
363,3,14.63
364,3,11.19
365,3,5.59
366,3,3.63
367,3,5.75
368,3,4.9
369,3,6.15
370,3,23.3
371,3,4.81
372,3,3.6
373,3,20.58
374,3,0.75
375,3,3.07
376,3,7.04
377,3,15.28
378,3,7.01
379,3,3.67
380,3,6.63
381,3,15.05
382,3,5.69
383,3,21.1
384,3,4.35
385,3,5.65
386,3,16.55
387,3,19.87
388,3,7.64
389,3,21.51
390,3,6.02
391,3,6.63
392,3,3.76
393,3,3.52
394,3,3.26
395,3,16.26
396,3,16.81
397,3,12.58
398,3,1.73
399,3,6.57
400,3,11.84
401,3,5.66
402,3,4.58
403,3,19.3
404,3,14.86
405,3,3.43
406,3,4.74
407,3,4.8
408,3,4.56
409,3,5.67
410,3,4.82
411,3,13.31
412,3,5.06
413,3,3.99
414,3,3.14
415,3,5.66
416,3,5.85
417,3,4.34
418,3,2.85
419,3,5.72
420,3,1.73
421,3,2.8
422,3,3.45
423,3,3.6
424,3,5.88
425,3,2.31
426,3,19.45
427,3,15.02
428,3,19.07
429,3,2.91
430,3,0.88
431,3,10.25
432,3,4.77
433,3,5.04
434,3,1.89
435,3,10.53
436,3,5.75
437,3,3.88
438,3,16.12
439,3,12.55
440,3,15.35
441,3,19.83
442,3,9.56
443,3,12.59
444,3,5.55
445,3,3.42
446,4,18.86
447,4,3.07
448,4,6.15
449,4,12.59
450,4,1.73
451,4,4.33
452,4,2.96
453,4,4.38
454,4,6.63
455,4,4.31
456,4,4.13
457,4,5.17
458,4,4.77
459,4,3.76
460,4,2.26
461,4,3.8
462,4,5.43
463,4,4.92
464,4,5.58
465,4,6.02
466,4,4.77
467,4,5.91
468,4,19.08
469,4,7.64
470,4,5.26
471,4,2.5
472,4,2.14
473,4,3.52
474,4,5.5
475,4,19.54
476,4,5.1
477,4,15.76
478,4,6.73
479,4,4.35
480,4,3.48
481,4,11.35
482,4,3.83
483,4,18.6
484,4,5.55
485,4,20.06
486,4,5.66
487,4,1.73
488,4,3.06
489,4,3.18
490,4,12.55
491,4,3.56
492,4,15.28
493,4,2.44
494,4,16.12
495,4,3.6
496,4,6.6
497,4,3.08
498,4,4.18
499,4,21.1
500,4,3.76
501,4,3.23
502,4,4.56
503,4,5.75
504,4,2.61
505,4,0.89
506,4,16.26
507,4,5.33
508,4,3.27
509,4,3.43
510,4,5.66
511,4,3.18
512,4,7.04
513,4,3.63
514,4,3.46
515,4,14.9
516,4,5.5
517,4,17.55
518,4,20.29
519,4,19.3
520,4,3.97
521,4,13.08
522,4,6.34
523,4,13.46
524,4,11.74
525,4,15.58
526,4,4.77
527,4,19.16
528,4,3.68
529,4,3.28
530,4,12.55
531,4,2.14
532,4,1.22
533,4,19.07
534,4,6.12
535,4,4.16
536,4,2.55
537,4,5.59
538,4,1.89
539,4,5.75
540,4,3.99
541,4,2.8
542,4,15.76
543,4,14.43
544,4,3.45
545,4,6.26
546,4,5.27
547,4,6.34
548,4,18.3
549,4,5.32
550,4,18.7
551,4,15.05
552,4,4.04
553,4,1.98
554,4,12.24
555,4,6.23
556,4,14.35
557,4,3.41
558,4,10.6
559,4,4.18
560,4,5.77
561,4,4.58
562,4,3.6
563,4,19.83
564,4,5.56
565,4,13.75
566,4,5.59
567,4,5.06
568,4,4.9
569,4,4.28
570,4,2.22
571,4,11.2
572,4,2.73
573,4,15.27
574,4,1.66
575,4,5.55
576,4,6.53
577,4,4.08
578,4,6.02
579,4,9.4
580,4,10.53
581,4,12.58
582,4,4.29
583,4,0.88
584,4,19.53
585,4,4.62
586,4,1.29
587,4,4.3
588,4,18.14
589,4,2.2
590,4,3.64
591,4,1.95
592,4,3.64
593,4,3.21
594,4,4.41
595,4,1.81
596,4,19.87
597,4,1
598,4,5.85
599,4,4.32
600,4,2.31
601,4,11.11
602,4,15.02
603,5,14.86
604,5,4.04
605,5,4.01
606,5,2.89
607,5,15.05
608,5,4.11
609,5,5.67
610,5,3.6
611,5,3.18
612,5,6.75
613,5,19.83
614,5,4.13
615,5,6.34
616,5,4.56
617,5,17.55
618,5,3.63
619,5,14.43
620,5,2.55
621,5,11.74
622,5,5.17
623,5,3.07
624,5,18.88
625,5,6.15
626,5,22.43
627,5,5.47
628,5,11.35
629,5,4.35
630,5,20.58
631,5,15.27
632,5,4.18
633,5,4.9
634,5,2.13
635,5,4.81
636,5,3.46
637,5,12.18
638,5,2.7
639,5,9.4
640,5,7.04
641,5,5.65
642,5,4.9
643,5,2.5
644,5,4.84
645,5,3.26
646,5,3.16
647,5,4.33
648,5,4.77
649,5,1.81
650,5,10.6
651,5,5.72
652,5,2.2
653,5,4.47
654,5,2.85
655,5,4.13
656,5,6.04
657,5,5.66
658,5,2.14
659,5,9.67
660,5,3.14
661,5,4.77
662,5,11.73
663,5,21.51
664,5,5.58
665,5,3.67
666,5,2.99
667,5,4.28
668,5,21.9
669,5,2.84
670,5,5.06
671,5,6.02
672,5,19.08
673,5,3.41
674,5,12.55
675,5,12.78
676,5,4.83
677,5,21.1
678,5,5.91
679,5,3.88
680,5,2
681,5,19.54
682,5,6.8
683,5,14.63
684,5,2.26
685,5,7.01
686,5,4.7
687,5,3.52
688,5,3.42
689,5,6.93
690,5,0.41
691,5,3.99
692,5,4.04
693,5,4.62
694,5,4.16
695,5,4.92
696,5,7.34
697,5,0.89
698,5,3.62
699,5,2.91
700,5,2.14
701,5,6.02
702,5,3.18
703,5,4.8
704,5,1.18
705,5,15.02
706,5,19.53
707,5,6.63
708,5,5.56
709,5,10.51
710,5,16.81
711,5,15.76
712,5,11.2
713,5,5.59
714,5,3.76
715,5,15.76
716,5,3.45
717,5,1.29
718,5,4.58
719,5,4.16
720,5,3.83
721,5,3.64
722,5,12.52
723,5,20.29
724,5,4.34
725,5,1.22
726,5,11.84
727,5,18.14
728,5,10.29
729,5,13.4
730,5,12.44
731,5,20.06
732,5,6.58
733,5,0.75
734,5,5.56
735,5,4.44
736,5,3.26
737,5,17.79
738,5,2.75
739,5,2.34
740,5,5.1
741,5,3.63
742,5,13.08
743,5,14.9
744,5,6.43
745,6,12.44
746,6,5.85
747,6,4.26
748,6,4.91
749,6,20.58
750,6,13.31
751,6,1.18
752,6,5.65
753,6,5.33
754,6,7.11
755,6,19.87
756,6,4.28
757,6,5.73
758,6,5.77
759,6,16.12
760,6,3.41
761,6,19.16
762,6,12.52
763,6,5.88
764,6,6.26
765,6,4.44
766,6,6.04
767,6,4.46
768,6,18.69
769,6,5.43
770,6,4.05
771,6,6.93
772,6,11.73
773,6,10.29
774,6,12.24
775,6,4.01
776,6,3.14
777,6,5.59
778,6,3.18
779,6,2.7
780,6,13.4
781,6,12.78
782,6,15.02
783,6,5.56
784,6,8.4
785,6,3.46
786,6,11.35
787,6,12.59
788,6,3.07
789,6,4.08
790,6,19.54
791,6,15.28
792,6,3.64
793,6,6.8
794,6,4.35
795,6,10.12
796,6,7.64
797,6,2.22
798,6,5.55
799,6,4.84
800,6,4.83
801,6,3.69
802,6,4.83
803,6,5.85
804,6,15.05
805,6,5.17
806,6,14.43
807,6,18.7
808,6,5.51
809,6,21.86
810,6,3.62
811,6,5.1
812,6,3.23
813,6,15.35
814,6,3.99
815,6,4.77
816,6,5.14
817,6,12.55
818,6,6.63
819,6,2.99
820,6,3.64
821,6,19.31
822,6,6.63
823,6,22.82
824,6,3.83
825,6,14.35
826,6,4.92
827,6,16.56
828,6,5.32
829,6,4.32
830,6,5.87
831,6,1.83
832,6,4.11
833,6,7.34
834,6,14.86
835,6,6.15
836,6,11.11
837,6,0.89
838,6,4.3
839,6,1.66
840,6,10.51
841,6,10.53
842,6,6.75
843,6,4.16
844,6,6.58
845,6,21.1
846,6,4.9
847,6,2.14
848,6,11.74
849,6,3.26
850,6,3.21
851,6,6.73
852,6,3.56
853,6,4.77
854,6,4.8
855,6,1.95
856,6,16.55
857,6,0.41
858,6,1
859,6,23.15
860,6,3.45
861,6,3.64
862,6,6.6
863,6,14.63
864,6,3.94
865,6,9.4
866,6,19.83
867,6,4.41
868,6,6.43
869,6,5.32
870,6,1.89
871,6,4.35
872,6,16.81
873,6,3.7
874,6,4.34
875,6,5.91
876,6,23.3
877,6,4.39
878,6,5.06
879,6,3.6
880,6,4.13
881,6,4.08
882,6,2.7
883,6,2.11
884,6,18.3
885,6,4.85
886,6,17.79
887,6,4.31
888,6,3.63
889,6,11.19
890,6,5.32
891,6,5.47
892,7,4.9
893,7,6.34
894,7,5.87
895,7,3.7
896,7,12.75
897,7,4.81
898,7,2.96
899,7,21.86
900,7,5.65
901,7,12.59
902,7,15.76
903,7,19.83
904,7,19.45
905,7,15.05
906,7,4.85
907,7,21.9
908,7,2.5
909,7,2.34
910,7,3.64
911,7,3.07
912,7,4.58
913,7,1.47
914,7,19.07
915,7,4.35
916,7,7.64
917,7,4.34
918,7,3.41
919,7,4.7
920,7,11.19
921,7,18.6
922,7,5.56
923,7,15.58
924,7,21.1
925,7,0.88
926,7,3.46
927,7,4.18
928,7,12.58
929,7,6.15
930,7,4.41
931,7,4.92
932,7,3.88
933,7,3.26
934,7,4.77
935,7,2.8
936,7,6.02
937,7,2.93
938,7,9.56
939,7,3.63
940,7,2.26
941,7,4.03
942,7,4.18
943,7,5.72
944,7,19.54
945,7,6.75
946,7,5.17
947,7,6.34
948,7,3.21
949,7,4.16
950,7,1
951,7,5.32
952,7,3.62
953,7,4.35
954,7,6.02
955,7,3.64
956,7,0.89
957,7,5.06
958,7,14.35
959,7,5.69
960,7,16.55
961,7,11.2
962,7,12.44
963,7,4.62
964,7,3.18
965,7,17.79
966,7,6.63
967,7,4.8
968,7,3.48
969,7,16.81
970,7,4.9
971,7,5.32
972,7,6.53
973,7,18.3
974,7,6.6
975,7,4.74
976,7,3.83
977,7,15.02
978,7,16.12
979,7,10.25
980,7,5.77
981,7,5.47
982,7,11.11
983,7,4.92
984,7,12.78
985,7,22.82
986,7,2.7
987,7,22.43
988,7,19.87
989,7,1.95
990,7,0.41
991,7,5.51
992,7,4.47
993,7,5.04
994,7,4.77
995,7,16.26
996,7,2.7
997,7,21.51
998,7,20.58
999,7,1.83
1000,7,18.86
1001,7,12.55
1002,7,11.35
1003,7,6.23
1004,7,10.12
1005,7,4.04
1006,7,4.38
1007,7,5.85
1008,7,5.1
1009,7,4.39
1010,7,4.33
1011,7,7.04
1012,7,4.28
1013,7,4.01
1014,7,5.26
1015,7,6.8
1016,7,4.3
1017,7,5.14
1018,7,5.55
1019,7,2.14
1020,7,19.3
1021,7,1.29
1022,7,6.58
1023,7,6.12
1024,7,12.55
1025,7,11.74
1026,7,12.26
1027,7,4.32
1028,7,3.6
1029,7,4.13
1030,7,10.53
1031,7,2.89
1032,7,4.05
1033,7,3.22
1034,7,19.08
1035,7,4.44
1036,7,2.7
1037,7,16.56
1038,7,3.67
1039,7,5.27
1040,7,2.99
1041,7,3.8
1042,7,25.71
1043,8,3.23
1044,8,20.29
1045,8,15.76
1046,8,4.62
1047,8,4.92
1048,8,6.8
1049,8,3.88
1050,8,3.18
1051,8,25.71
1052,8,3.43
1053,8,6.43
1054,8,18.88
1055,8,3.64
1056,8,0.41
1057,8,4.04
1058,8,11.84
1059,8,19.31
1060,8,9.56
1061,8,21.9
1062,8,20.06
1063,8,11.11
1064,8,4.04
1065,8,3.48
1066,8,4.35
1067,8,4.35
1068,8,6.02
1069,8,4.38
1070,8,2.14
1071,8,4.34
1072,8,14.9
1073,8,5.5
1074,8,3.52
1075,8,4.83
1076,8,3.99
1077,8,11.73
1078,8,2.99
1079,8,2.8
1080,8,2.62
1081,8,5.77
1082,8,19.87
1083,8,2.61
1084,8,5.32
1085,8,5.66
1086,8,5.32
1087,8,5.27
1088,8,1.95
1089,8,11.74
1090,8,5.04
1091,8,4.82
1092,8,5.51
1093,8,3.76
1094,8,6.15
1095,8,12.59
1096,8,4.77
1097,8,5.66
1098,8,3.26
1099,8,2.31
1100,8,4.28
1101,8,12.24
1102,8,4.33
1103,8,19.07
1104,8,2.14
1105,8,6.12
1106,8,2.14
1107,8,5.75
1108,8,15.35
1109,8,2.11
1110,8,15.28
1111,8,4.11
1112,8,14.43
1113,8,12.26
1114,8,19.3
1115,8,6.58
1116,8,14.35
1117,8,10.29
1118,8,5.58
1119,8,11.2
1120,8,5.5
1121,8,19.45
1122,8,5.73
1123,8,4.32
1124,8,19.78
1125,8,2.5
1126,8,4.26
1127,8,16.81
1128,8,3.63
1129,8,4.74
1130,8,2.73
1131,8,4.9
1132,8,4.13
1133,8,4.3
1134,8,18.86
1135,8,18.7
1136,8,1
1137,8,14.86
1138,8,6.63
1139,8,1.98
1140,8,17.79
1141,8,5.1
1142,8,7.11
1143,8,3.7
1144,8,4.16
1145,8,5.17
1146,8,4.81
1147,8,2.93
1148,8,5.75
1149,8,3.76
1150,8,2.85
1151,8,23.15
1152,8,12.75
1153,8,2.84
1154,8,4.77
1155,8,4.84
1156,8,3.8
1157,8,0.89
1158,8,4.9
1159,8,7.04
1160,8,5.87
1161,8,23.3
1162,8,11.35
1163,8,12.55
1164,8,6.75
1165,8,3.45
1166,8,13.46
1167,8,2.14
1168,8,5.56
1169,8,1.83
1170,8,3.06
1171,8,18.14
1172,8,3.46
1173,8,1.22
1174,8,2.7
1175,8,13.4
1176,8,0.88
1177,8,2.96
1178,8,4.83
1179,8,4.08
1180,8,4.41
1181,8,5.47
1182,8,4.81
1183,8,5.26
1184,8,6.23
1185,8,5.56
1186,8,5.1
1187,8,5.69
1188,8,3.83
1189,8,6.6
1190,8,6.57
1191,8,2.26
1192,8,3.28
1193,8,2.22
1194,8,4.8
1195,8,4.92
1196,8,1.18
1197,8,3.42
1198,8,6.63
1199,9,12.63
1200,9,21.86
1201,9,6.63
1202,9,10.25
1203,9,10.53
1204,9,3.88
1205,9,1.73
1206,9,5.75
1207,9,4.83
1208,9,3.67
1209,9,5.77
1210,9,3.28
1211,9,4.16
1212,9,4.9
1213,9,4.35
1214,9,2
1215,9,23.15
1216,9,18.88
1217,9,6.8
1218,9,4.58
1219,9,3.41
1220,9,4.11
1221,9,18.69
1222,9,3.64
1223,9,4.31
1224,9,3.22
1225,9,3.18
1226,9,10.51
1227,9,4.04
1228,9,5.32
1229,9,0.88
1230,9,3.26
1231,9,3.76
1232,9,3.68
1233,9,3.69
1234,9,18.7
1235,9,3.6
1236,9,4.04
1237,9,11.74
1238,9,12.26
1239,9,19.83
1240,9,3.16
1241,9,3.62
1242,9,3.21
1243,9,14.43
1244,9,4.44
1245,9,8.4
1246,9,6.93
1247,9,3.83
1248,9,2.5
1249,9,4.82
1250,9,6.12
1251,9,2.7
1252,9,2.89
1253,9,11.2
1254,9,23.3
1255,9,4.13
1256,9,11.11
1257,9,1.18
1258,9,1.47
1259,9,4.81
1260,9,15.05
1261,9,10.12
1262,9,2.61
1263,9,4.01
1264,9,2.55
1265,9,6.53
1266,9,10.6
1267,9,12.55
1268,9,1.73
1269,9,4.28
1270,9,18.14
1271,9,22.82
1272,9,2.85
1273,9,5.1
1274,9,3.07
1275,9,6.34
1276,9,4.35
1277,9,4.08
1278,9,11.35
1279,9,20.58
1280,9,2.31
1281,9,18.3
1282,9,2.7
1283,9,11.19
1284,9,1.95
1285,9,1
1286,9,13.08
1287,9,5.55
1288,9,4.13
1289,9,5.14
1290,9,1.66
1291,9,14.63
1292,9,13.4
1293,9,4.34
1294,9,3.06
1295,9,2.26
1296,9,1.98
1297,9,2.84
1298,9,19.78
1299,9,2.11
1300,9,9.56
1301,9,12.24
1302,9,4.46
1303,9,2.22
1304,9,4.77
1305,9,5.32
1306,9,6.43
1307,9,7.34
1308,9,1.89
1309,9,4.33
1310,9,5.58
1311,9,7.64
1312,9,4.83
1313,9,5.17
1314,9,4.9
1315,9,4.41
1316,9,19.54
1317,9,19.3
1318,9,4.38
1319,9,5.56
1320,9,21.9
1321,9,19.08
1322,9,3.99
1323,9,4.8
1324,9,4.77
1325,9,4.85
1326,9,13.75
1327,9,7.01
1328,9,15.76
1329,9,5.72
1330,9,2.14
1331,9,3.46
1332,9,5.69
1333,9,2.75
1334,9,5.67
1335,9,3.56
1336,9,3.08
1337,9,14.35
1338,9,4.03
1339,9,7.04
1340,9,21.51
1341,9,5.75
1342,9,6.75
1343,9,6.57
1344,9,5.57
1345,9,1.83
1346,9,5.1
1347,9,3.42
1348,9,11.73
1349,9,3.64
1350,9,0.89
1351,9,19.53
1352,9,21.1
1353,9,4.81
1354,9,20.29
1355,9,3.07
1356,9,5.56
1357,10,11.11
1358,10,6.12
1359,10,7.01
1360,10,9.56
1361,10,3.76
1362,10,5.1
1363,10,7.34
1364,10,11.84
1365,10,18.88
1366,10,4.62
1367,10,4.7
1368,10,4.81
1369,10,4.8
1370,10,11.35
1371,10,5.43
1372,10,1.73
1373,10,6.23
1374,10,6.6
1375,10,5.56
1376,10,21.86
1377,10,2.22
1378,10,23.3
1379,10,4.34
1380,10,4.08
1381,10,3.6
1382,10,2.91
1383,10,3.64
1384,10,4.16
1385,10,4.83
1386,10,0.75
1387,10,17.32
1388,10,2.11
1389,10,4.81
1390,10,4.83
1391,10,13.4
1392,10,5.91
1393,10,21.1
1394,10,5.57
1395,10,3.18
1396,10,9.67
1397,10,2.62
1398,10,3.76
1399,10,4.33
1400,10,4.03
1401,10,4.47
1402,10,4.74
1403,10,12.24
1404,10,3.36
1405,10,2.8
1406,10,5.61
1407,10,15.35
1408,10,5.55
1409,10,3.46
1410,10,4.9
1411,10,11.73
1412,10,5.32
1413,10,2.2
1414,10,7.11
1415,10,19.31
1416,10,3.6
1417,10,4.91
1418,10,3.48
1419,10,5.17
1420,10,5.59
1421,10,14.9
1422,10,4.16
1423,10,7.04
1424,10,2.84
1425,10,3.26
1426,10,14.86
1427,10,4.77
1428,10,2.31
1429,10,3.16
1430,10,5.55
1431,10,15.76
1432,10,4.04
1433,10,2.7
1434,10,4.29
1435,10,3.06
1436,10,3.63
1437,10,1.18
1438,10,6.02
1439,10,3.22
1440,10,6.02
1441,10,5.72
1442,10,3.21
1443,10,19.3
1444,10,4.08
1445,10,5.5
1446,10,4.38
1447,10,5.69
1448,10,4.11
1449,10,1.83
1450,10,4.85
1451,10,2.44
1452,10,2.61
1453,10,7.64
1454,10,4.58
1455,10,3.45
1456,10,5.59
1457,10,4.28
1458,10,10.53
1459,10,5.85
1460,10,2.13
1461,10,5.88
1462,10,4.04
1463,10,18.86
1464,10,14.43
1465,10,2.7
1466,10,4.84
1467,10,19.53
1468,10,18.3
1469,10,4.82
1470,10,4.44
1471,10,16.81
1472,10,23.15
1473,10,3.07
1474,10,5.56
1475,10,20.58
1476,10,5.66
1477,10,4.46
1478,10,14.63
1479,10,13.46
1480,10,1.81
1481,10,19.54
1482,10,19.78
1483,10,22.82
1484,10,4.05
1485,10,2.5
1486,10,0.89
1487,10,15.35
1488,10,6.73
1489,10,2.89
1490,10,19.83
1491,10,19.07
1492,10,2.34
1493,10,2.93
1494,10,9.4
1495,10,15.28
1496,10,1.89
1497,10,2.7
1498,10,12.55
1499,10,13.75
1500,10,19.16
1501,10,3.42
1502,10,15.27
1503,10,12.58
1504,10,12.55
1505,10,6.63
1506,10,3.68
1507,10,18.6
1508,11,3.94
1509,11,2.55
1510,11,20.58
1511,11,5.1
1512,11,3.28
1513,11,16.12
1514,11,6.63
1515,11,3.8
1516,11,4.35
1517,11,16.26
1518,11,7.11
1519,11,13.46
1520,11,3.41
1521,11,3.69
1522,11,15.76
1523,11,19.16
1524,11,6.26
1525,11,4.8
1526,11,3.63
1527,11,3.18
1528,11,3.42
1529,11,5.17
1530,11,1.73
1531,11,5.32
1532,11,3.08
1533,11,1.76
1534,11,6.57
1535,11,4.28
1536,11,4.85
1537,11,5.91
1538,11,2.93
1539,11,2.62
1540,11,5.87
1541,11,5.67
1542,11,4.7
1543,11,12.78
1544,11,5.56
1545,11,15.58
1546,11,4.35
1547,11,3.88
1548,11,3.6
1549,11,10.25
1550,11,19.83
1551,11,5.47
1552,11,21.51
1553,11,3.07
1554,11,5.59
1555,11,4.04
1556,11,14.63
1557,11,10.53
1558,11,5.88
1559,11,5.57
1560,11,3.64
1561,11,4.58
1562,11,2.91
1563,11,1.89
1564,11,2.26
1565,11,5.56
1566,11,3.99
1567,11,3.21
1568,11,4.84
1569,11,3.64
1570,11,4.13
1571,11,2.14
1572,11,19.45
1573,11,9.56
1574,11,4.56
1575,11,3.18
1576,11,2.7
1577,11,6.04
1578,11,4.38
1579,11,15.76
1580,11,19.54
1581,11,4.29
1582,11,4.03
1583,11,4.9
1584,11,12.75
1585,11,2.7
1586,11,4.34
1587,11,11.19
1588,11,7.04
1589,11,11.74
1590,11,18.69
1591,11,4.08
1592,11,4.13
1593,11,3.45
1594,11,8.4
1595,11,12.52
1596,11,23.15
1597,11,3.22
1598,11,1.22
1599,11,3.36
1600,11,2.73
1601,11,3.76
1602,11,2.61
1603,11,13.4
1604,11,10.6
1605,11,11.11
1606,11,19.31
1607,11,4.18
1608,11,25.71
1609,11,6.63
1610,11,5.85
1611,11,5.55
1612,11,1
1613,11,4.34
1614,11,2.99
1615,11,17.55
1616,11,5.65
1617,11,4.16
1618,11,4.74
1619,11,17.79
1620,11,2.75
1621,11,3.56
1622,11,5.75
1623,11,20.29
1624,11,18.3
1625,11,3.88
1626,11,12.55
1627,11,21.86
1628,11,13.08
1629,11,10.51
1630,11,5.14
1631,11,6.6
1632,11,1.95
1633,11,14.43
1634,11,6.8
1635,11,15.28
1636,11,3.52
1637,11,3.23
1638,11,2.11
1639,11,21.1
1640,11,6.73
1641,11,1.83
1642,11,9.4
1643,11,4.91
1644,11,2.34
1645,11,4.26
1646,11,4.62
1647,11,18.6
1648,11,3.46
1649,11,6.93
1650,11,2.14
1651,11,3.62
1652,12,15.35
1653,12,5.75
1654,12,4.18
1655,12,18.3
1656,12,3.64
1657,12,4.83
1658,12,2.31
1659,12,1.47
1660,12,2.14
1661,12,6.26
1662,12,4.16
1663,12,14.9
1664,12,4.13
1665,12,8.4
